URL: http://animexx.onlinewelten.com/datenbank-zuviel.phtml?them_id=1

Du siehst zuviel Sailor Moon, wenn...

... 	dein Papagei plötzlich beginnt, "Chibi Chibi" zu rufen. 	 Onkel_Montork
... 	du die Sailorkriegerinnen Posen gebrauchst , um dich für die Aerobic warmzumachen. 	DOC
... 	du Stunden damit verbringst, Deine Stirn zu untersuchen, ob du vielleicht ein Mondsymbol auf ihr hast 	DOC
... 	du während eines Gewitters anfängst, folgendes zu sagen : "Donnerschlag !" 	DOC
... 	du beim nächsten Juwelier nach einem Mondkristall fragst 	DOC
... 	du eine Einladung zu einer Hochzeit bekommst und sagst: "Oh, super, Ich zieh mich an wie Tuxedo Mask." 	DOC
... 	sich deine Mutter als Serenity verkleiden muß, damit sie deine Aufmerksamkeit bekommt 	DOC
... 	du deine eigenen Varianten der Angriffe machst "Geschirrspüler leg los!" "Palmolive Seifenblasen!" 	DOC
... 	du von Deinem Direktor verlangst, daß auch an Deiner Schule Schuluniformen eingeführt werden. 	DOC
... 	du anfängst rote Rosen auf alle möglichen Schreckgespenster zu schiessen. 	DOC
... 	dich deine Freunde "Sailor Moon verrückt" schimpfen und DU DAS ALS KOMPLIMENT SIEHST 	DOC
... 	du in der Schule vor einem Test sitzt, auf deinen Fühler schaust, plötzlich aufstehst, den Fühler hochhebst und laut rufst : "Macht des Mondes ! Verwandle mich in einen allwissenden Schüler!!!!" 	DOC
... 	man sich nachts nur noch bei Vollmond raus traut: Bei anderen Mondphasen könnte man ja einen Halbmondstrahl abkriegen! 	DOC
... 	du überzeugt bist, dass das Tamagothchi Jedites neuster Trick ist, um den Menschen die Energie abzusaugen. ------ Oder es ist Anne und Ail's neuster Cardian - diesmal elektronisch, der missachtet dann keine Befehle! 	DOC
... 	du auf der Intensivstation liegst, weil du vom Blitz getroffen wurdest 	DOC
... 	du statt "Möge die Macht mit dir sein" bei jeder Gelegenheit "Möge die Macht der Mondnebel mit dir sein" sagst 	DOC
... 	du durch die Fußgängerzone läufst, und dir einen Laser-Pointer auf den Zeigefinger klebst. Jetzt stürmst du durch die gegend und schreist: "Halbmondstrahl, Halbmondstrahl!" 	DOC
... 	du alle Folgen der ersten Staffel am Stück in einer Nacht anschaust 	DOC
... 	du einen Zoisite-Fanclub gründest 	DOC
... 	du deine Katzen Luna und Artemis nennst 	cato
... 	du meinst, "Super Sailor Merkur" wäre das selbe wie "Ami Pro" 	cato
... 	Du eine Party veranstalltest zu der jeder mit Kostümen aus Sailor Moon kommen darf. 	DOC
